,ad_id,city_id,market,date_posted,date_expired,price_per_sqm,price,rooms_num,category_name,subcategory_name,per_of_time,month_year
90,62719083,26,primary,2022-01-31,2022-03-03,9986.0,699000.0,3,Sale,Apartments,31,2022-01
93,62874477,26,secondary,2022-03-14,2022-03-29,57.0,2850.0,2,Rent,Apartments,15,2022-03
95,62591374,26,secondary,2021-12-17,2022-02-04,11354.0,394000.0,1,Sale,Apartments,49,2021-12
100,62715666,26,secondary,2022-01-31,2022-02-07,10776.0,1250000.0,4,Sale,Apartments,7,2022-01
102,62756458,26,secondary,2022-02-10,2022-03-12,12200.0,610000.0,3,Sale,Apartments,30,2022-02
103,62762768,26,secondary,2022-02-11,2022-02-13,156.0,10000.0,2,Rent,Apartments,2,2022-02
112,62655444,26,primary,2022-01-13,2022-02-12,8839.0,551934.0,3,Sale,Apartments,30,2022-01
113,62684845,26,primary,2022-01-21,2022-03-22,12541.0,800000.0,3,Sale,Apartments,60,2022-01
114,62610177,26,secondary,2021-12-27,2022-03-27,47.0,3500.0,3,Rent,Apartments,90,2021-12
116,62508655,26,secondary,2021-11-19,2022-03-03,132.0,21500.0,4,Rent,Apartments,104,2021-11
118,62456035,26,secondary,2021-11-04,2022-03-05,14562.0,1529000.0,3,Sale,Apartments,121,2021-11
121,62190801,1004,secondary,2021-08-19,2022-02-18,6843.0,176000.0,1,Sale,Apartments,183,2021-08
122,62506110,26,secondary,2021-11-19,2022-02-15,49.0,1900.0,1,Rent,Apartments,88,2021-11
123,62906482,26,primary,2022-03-22,2022-03-24,11404.0,593000.0,3,Sale,Apartments,2,2022-03
126,62817556,26,secondary,2022-02-25,2022-03-27,14974.0,569000.0,2,Sale,Apartments,30,2022-02
127,62616296,26,secondary,2021-12-30,2022-03-16,18929.0,530000.0,1,Sale,Apartments,76,2021-12
128,62634026,26,secondary,2022-01-05,2022-03-09,89.0,5000.0,2,Rent,Apartments,63,2022-01
131,62760131,1004,secondary,2022-02-11,2022-03-07,47.0,2500.0,2,Rent,Apartments,24,2022-02
133,62405032,26,primary,2021-10-19,2022-03-11,10324.0,578136.0,3,Sale,Apartments,143,2021-10
136,62567663,26,primary,2021-12-09,2022-02-07,20444.0,368000.0,1,Sale,Apartments,60,2021-12
138,62041825,26,primary,2021-07-07,2022-03-04,8800.0,741048.0,4,Sale,Apartments,240,2021-07
145,62735153,26,primary,2022-02-04,2022-03-06,13700.0,599101.0,2,Sale,Apartments,30,2022-02
147,62604892,26,secondary,2021-12-23,2022-02-26,45.0,3500.0,3,Rent,Apartments,65,2021-12
148,62797324,26,secondary,2022-02-21,2022-03-04,13000.0,684320.0,2,Sale,Apartments,11,2022-02
149,62620532,26,secondary,2022-01-01,2022-02-01,11481.0,535000.0,2,Sale,Apartments,31,2022-01
150,62726019,26,secondary,2022-02-02,2022-03-04,9969.0,650000.0,3,Sale,Apartments,30,2022-02
152,62889281,1004,secondary,2022-03-17,2022-03-22,5016.0,311000.0,3,Sale,Apartments,5,2022-03
162,62360972,1004,primary,2021-10-07,2022-03-21,8538.0,367115.0,2,Sale,Apartments,165,2021-10
168,62743619,26,secondary,2022-02-07,2022-02-27,69.0,4300.0,3,Rent,Apartments,20,2022-02
172,62888964,26,secondary,2022-03-17,2022-03-25,10650.0,999000.0,3,Sale,Apartments,8,2022-03
174,62029188,26,secondary,2021-07-02,2022-03-17,69.0,4600.0,2,Rent,Apartments,258,2021-07
181,62716450,26,secondary,2022-01-31,2022-03-05,59.0,2000.0,1,Rent,Apartments,33,2022-01
184,62678496,26,secondary,2022-01-19,2022-02-18,15532.0,730000.0,3,Sale,Apartments,30,2022-01
186,62661215,26,primary,2022-01-14,2022-03-15,9024.0,740000.0,3,Sale,Apartments,60,2022-01
187,62674664,26,secondary,2022-01-18,2022-02-17,10508.0,600000.0,3,Sale,Apartments,30,2022-01
188,62888253,1004,primary,2022-03-17,2022-03-22,7478.0,381245.0,3,Sale,Apartments,5,2022-03
191,62683889,26,secondary,2022-01-20,2022-02-19,10336.0,589150.0,2,Sale,Apartments,30,2022-01
192,62792881,26,secondary,2022-02-19,2022-03-22,64.0,2700.0,2,Rent,Apartments,31,2022-02
193,62819930,26,secondary,2022-02-26,2022-03-28,79.0,2100.0,1,Rent,Apartments,30,2022-02
194,62701153,26,secondary,2022-01-26,2022-02-22,11695.0,545000.0,2,Sale,Apartments,27,2022-01
195,62725812,26,secondary,2022-02-02,2022-02-17,58.0,4900.0,3,Rent,Apartments,15,2022-02
197,62727893,26,secondary,2022-02-02,2022-02-25,61.0,2700.0,2,Rent,Apartments,23,2022-02
199,62749111,26,secondary,2022-02-08,2022-02-16,55.0,2800.0,2,Rent,Apartments,8,2022-02
201,62875865,26,secondary,2022-03-14,2022-03-30,10997.0,750000.0,4,Sale,Apartments,16,2022-03
203,62772434,26,primary,2022-02-15,2022-03-18,7412.0,845000.0,3,Sale,Apartments,31,2022-02
204,62445034,26,primary,2021-10-30,2022-02-07,12748.0,579000.0,2,Sale,Apartments,100,2021-10
205,62749853,1004,primary,2022-02-08,2022-03-10,7914.0,402493.0,3,Sale,Apartments,30,2022-02
206,62784730,26,secondary,2022-02-17,2022-02-19,180.0,11500.0,2,Rent,Apartments,2,2022-02
213,62581360,26,secondary,2021-12-14,2022-02-12,18104.0,2788000.0,5,Sale,Apartments,60,2021-12
214,61759611,26,secondary,2021-04-20,2022-02-14,40.0,2500.0,3,Rent,Apartments,300,2021-04
215,62365628,26,secondary,2021-10-08,2022-03-21,14270.0,899000.0,4,Sale,Apartments,164,2021-10
216,62504515,26,primary,2021-11-18,2022-03-18,15592.0,585021.0,2,Sale,Apartments,120,2021-11
219,62482064,26,secondary,2021-11-11,2022-03-17,12632.0,480000.0,2,Sale,Apartments,126,2021-11
220,62654154,26,secondary,2022-01-12,2022-02-17,14393.0,1589000.0,5,Sale,Apartments,36,2022-01
222,62837062,26,secondary,2022-03-03,2022-03-07,59.0,3900.0,3,Rent,Apartments,4,2022-03
225,62801117,26,secondary,2022-02-22,2022-03-24,44.0,1600.0,2,Rent,Apartments,30,2022-02
228,62694553,26,secondary,2022-01-24,2022-02-23,14167.0,510000.0,2,Sale,Apartments,30,2022-01
229,62780707,1004,secondary,2022-02-16,2022-03-18,39.0,1700.0,2,Rent,Apartments,30,2022-02
231,62752563,1004,secondary,2022-02-09,2022-03-11,7595.0,319000.0,2,Sale,Apartments,30,2022-02
239,62813560,26,secondary,2022-02-24,2022-03-23,16306.0,799000.0,2,Sale,Apartments,27,2022-02
242,62702778,1004,primary,2022-01-26,2022-02-25,8749.0,439000.0,3,Sale,Apartments,30,2022-01
243,62802532,26,secondary,2022-02-22,2022-03-24,39.0,3000.0,4,Rent,Apartments,30,2022-02
246,62793884,26,secondary,2022-02-20,2022-03-22,22.0,920.0,1,Rent,Apartments,30,2022-02
247,62687078,26,primary,2022-01-21,2022-02-02,10800.0,503604.0,2,Sale,Apartments,12,2022-01
251,62298826,26,secondary,2021-09-20,2022-02-24,18013.0,1088000.0,3,Sale,Apartments,157,2021-09
252,62683206,26,secondary,2022-01-20,2022-02-19,19450.0,389000.0,1,Sale,Apartments,30,2022-01
253,62604511,26,secondary,2021-12-23,2022-02-23,13132.0,499000.0,1,Sale,Apartments,62,2021-12
254,62767147,26,primary,2022-02-13,2022-03-08,13130.0,981468.0,4,Sale,Apartments,23,2022-02
255,62773597,26,primary,2022-02-15,2022-03-29,13260.0,638989.0,3,Sale,Apartments,42,2022-02
258,62757761,26,secondary,2022-02-10,2022-02-28,77.0,3000.0,2,Rent,Apartments,18,2022-02
261,62677832,26,secondary,2022-01-19,2022-02-18,71.0,2700.0,2,Rent,Apartments,30,2022-01
263,62732996,1004,secondary,2022-02-03,2022-03-05,6285.0,269000.0,2,Sale,Apartments,30,2022-02
264,62735009,26,primary,2022-02-04,2022-02-17,11681.0,605061.0,4,Sale,Apartments,13,2022-02
265,62699618,26,secondary,2022-01-25,2022-02-02,71.0,3700.0,2,Rent,Apartments,8,2022-01
267,62718220,26,secondary,2022-01-31,2022-03-23,11687.0,791000.0,3,Sale,Apartments,51,2022-01
269,62729788,26,primary,2022-02-03,2022-03-05,12647.0,653084.0,2,Sale,Apartments,30,2022-02
275,62800386,26,secondary,2022-02-21,2022-02-22,79.0,6000.0,2,Rent,Apartments,1,2022-02
279,62576666,26,secondary,2021-12-13,2022-03-13,13200.0,594000.0,2,Sale,Apartments,90,2021-12
280,62849347,26,secondary,2022-03-07,2022-03-24,16205.0,1499000.0,3,Sale,Apartments,17,2022-03
282,62746792,26,secondary,2022-02-08,2022-03-10,47.0,3500.0,4,Rent,Apartments,30,2022-02
284,62728405,1004,secondary,2022-02-02,2022-02-22,6396.0,339000.0,3,Sale,Apartments,20,2022-02
291,62817076,26,secondary,2022-02-25,2022-03-22,106.0,8500.0,4,Rent,Apartments,25,2022-02
292,62800298,26,secondary,2022-02-21,2022-02-22,33.0,1800.0,2,Rent,Apartments,1,2022-02
293,62819492,26,secondary,2022-02-26,2022-03-19,11231.0,520000.0,2,Sale,Apartments,21,2022-02
294,62592949,26,secondary,2021-12-17,2022-02-21,20429.0,715000.0,2,Sale,Apartments,66,2021-12
295,62706025,26,secondary,2022-01-27,2022-02-26,49.0,2050.0,2,Rent,Apartments,30,2022-01
296,62724015,26,secondary,2022-02-01,2022-02-16,56.0,4200.0,3,Rent,Apartments,15,2022-02
297,62193709,26,secondary,2021-08-20,2022-02-02,13375.0,749000.0,2,Sale,Apartments,166,2021-08
298,62471653,26,secondary,2021-11-08,2022-02-04,15174.0,698000.0,3,Sale,Apartments,88,2021-11
302,62809918,26,primary,2022-02-23,2022-03-29,10516.0,710850.0,4,Sale,Apartments,34,2022-02
307,62714308,1004,secondary,2022-01-30,2022-03-01,33.0,2600.0,3,Rent,Apartments,30,2022-01
310,62787177,1004,primary,2022-02-18,2022-03-20,10231.0,500000.0,2,Sale,Apartments,30,2022-02
311,62645030,26,secondary,2022-01-10,2022-02-09,42.0,2500.0,2,Rent,Apartments,30,2022-01
312,62728463,26,primary,2022-02-02,2022-03-09,17090.0,1639100.0,4,Sale,Apartments,35,2022-02
316,62739658,26,secondary,2022-02-06,2022-03-08,12469.0,798000.0,4,Sale,Apartments,30,2022-02
318,62754123,1004,primary,2022-02-09,2022-03-11,8951.0,445500.0,3,Sale,Apartments,30,2022-02
319,62432835,26,primary,2021-10-27,2022-02-10,8341.0,687802.0,2,Sale,Apartments,106,2021-10
321,62518646,26,secondary,2021-11-23,2022-03-29,12081.0,929000.0,3,Sale,Apartments,126,2021-11
322,62833021,26,secondary,2022-03-02,2022-03-11,36.0,1500.0,1,Rent,Apartments,9,2022-03
324,62397407,26,secondary,2021-10-17,2022-02-02,12256.0,527000.0,2,Sale,Apartments,108,2021-10
325,62552233,26,secondary,2021-12-03,2022-03-10,11382.0,1400000.0,5,Sale,Apartments,97,2021-12
326,62650900,26,primary,2022-01-12,2022-02-28,12053.0,2290000.0,5,Sale,Apartments,47,2022-01
328,62679851,26,secondary,2022-01-19,2022-02-18,52.0,2500.0,2,Rent,Apartments,30,2022-01
329,62789245,26,primary,2022-02-18,2022-03-29,10975.0,745989.0,3,Sale,Apartments,39,2022-02
332,62782709,26,secondary,2022-02-17,2022-02-25,10465.0,450000.0,3,Sale,Apartments,8,2022-02
336,62290847,26,secondary,2021-09-17,2022-02-24,17980.0,899000.0,2,Sale,Apartments,160,2021-09
339,62724652,26,secondary,2022-02-01,2022-03-03,32.0,2000.0,3,Rent,Apartments,30,2022-02
340,62778111,26,primary,2022-02-16,2022-03-18,10721.0,860769.0,3,Sale,Apartments,30,2022-02
341,62881108,26,secondary,2022-03-15,2022-03-28,69.0,3100.0,2,Rent,Apartments,13,2022-03
342,62557300,1004,secondary,2021-12-06,2022-02-02,5766.0,369000.0,3,Sale,Apartments,58,2021-12
343,62702962,26,secondary,2022-01-26,2022-03-01,63.0,2800.0,2,Rent,Apartments,34,2022-01
345,62766436,26,primary,2022-02-13,2022-03-01,9552.0,554023.0,3,Sale,Apartments,16,2022-02
346,62776759,26,secondary,2022-02-15,2022-03-17,113.0,2600.0,1,Rent,Apartments,30,2022-02
348,62889258,26,primary,2022-03-17,2022-03-18,25000.0,2397500.0,3,Sale,Apartments,1,2022-03
349,62737648,26,secondary,2022-02-05,2022-03-07,63.0,2200.0,2,Rent,Apartments,30,2022-02
351,62691419,26,secondary,2022-01-24,2022-02-15,9176.0,690000.0,3,Sale,Apartments,22,2022-01
352,62729710,26,secondary,2022-02-03,2022-03-07,13296.0,470000.0,1,Sale,Apartments,32,2022-02
355,62510872,26,secondary,2021-11-20,2022-02-18,12660.0,395000.0,1,Sale,Apartments,90,2021-11
356,62538155,26,secondary,2021-11-29,2022-02-14,11000.0,627000.0,2,Sale,Apartments,77,2021-11
357,62594646,26,primary,2021-12-18,2022-02-16,17932.0,947000.0,3,Sale,Apartments,60,2021-12
360,62503336,26,primary,2021-11-18,2022-03-09,16000.0,288000.0,1,Sale,Apartments,111,2021-11
363,62734950,26,primary,2022-02-04,2022-03-06,12748.0,648469.0,2,Sale,Apartments,30,2022-02
366,61541294,26,secondary,2021-02-22,2022-03-10,99.0,9000.0,3,Rent,Apartments,381,2021-02
367,62461172,26,secondary,2021-11-05,2022-02-25,10258.0,677000.0,4,Sale,Apartments,112,2021-11
372,62766680,26,secondary,2022-02-13,2022-03-15,12704.0,389000.0,1,Sale,Apartments,30,2022-02
375,62890587,26,secondary,2022-03-18,2022-03-29,12195.0,850000.0,3,Sale,Apartments,11,2022-03
377,62639463,1004,secondary,2022-01-08,2022-02-07,7381.0,310000.0,2,Sale,Apartments,30,2022-01
378,62833737,26,secondary,2022-03-02,2022-03-21,39067.0,6450000.0,4,Sale,Apartments,19,2022-03
379,62545394,26,secondary,2021-12-01,2022-02-14,48.0,2200.0,2,Rent,Apartments,75,2021-12
380,62723676,26,secondary,2022-02-01,2022-03-08,16000.0,400000.0,1,Sale,Apartments,35,2022-02
383,62698932,26,secondary,2022-01-25,2022-02-22,14807.0,540000.0,2,Sale,Apartments,28,2022-01
384,62761357,26,primary,2022-02-11,2022-03-13,9690.0,542621.0,3,Sale,Apartments,30,2022-02
386,62606864,26,primary,2021-12-24,2022-02-22,13600.0,371552.0,1,Sale,Apartments,60,2021-12
388,62697209,26,primary,2022-01-25,2022-02-28,11740.0,991000.0,4,Sale,Apartments,34,2022-01
389,62719977,26,secondary,2022-01-31,2022-02-07,41.0,2800.0,3,Rent,Apartments,7,2022-01
390,62808666,26,primary,2022-02-23,2022-03-10,9190.0,415939.0,2,Sale,Apartments,15,2022-02
391,62823527,26,secondary,2022-02-28,2022-03-22,54.0,1900.0,1,Rent,Apartments,22,2022-02
392,62336318,26,secondary,2021-09-30,2022-03-29,15585.0,639000.0,2,Sale,Apartments,180,2021-09
393,62809820,26,secondary,2022-02-23,2022-03-24,8727.0,480000.0,3,Sale,Apartments,29,2022-02
399,62475654,1004,secondary,2021-11-09,2022-03-28,7000.0,941150.0,4,Sale,Apartments,139,2021-11
400,62786051,26,secondary,2022-02-18,2022-03-09,81.0,3650.0,2,Rent,Apartments,19,2022-02
401,62593847,26,secondary,2021-12-18,2022-03-02,63.0,2900.0,2,Rent,Apartments,74,2021-12
403,62799606,26,secondary,2022-02-21,2022-03-24,14656.0,469000.0,1,Sale,Apartments,31,2022-02
404,62598016,26,primary,2021-12-20,2022-02-20,10500.0,892500.0,4,Sale,Apartments,62,2021-12
405,62695442,1004,secondary,2022-01-24,2022-02-23,38.0,1650.0,2,Rent,Apartments,30,2022-01
409,62633580,26,secondary,2022-01-05,2022-03-06,46.0,2000.0,2,Rent,Apartments,60,2022-01
410,62700361,26,secondary,2022-01-26,2022-02-07,76.0,3500.0,2,Rent,Apartments,12,2022-01
413,62400169,26,primary,2021-10-18,2022-03-31,10300.0,854867.0,4,Sale,Apartments,164,2021-10
414,62672978,1004,secondary,2022-01-18,2022-03-10,7107.0,199000.0,1,Sale,Apartments,51,2022-01
415,62136183,1004,secondary,2021-08-03,2022-02-02,29.0,2000.0,3,Rent,Apartments,183,2021-08
416,62585019,26,secondary,2021-12-15,2022-03-09,45.0,2100.0,2,Rent,Apartments,84,2021-12
419,62778700,26,primary,2022-02-16,2022-03-18,8765.0,902057.0,4,Sale,Apartments,30,2022-02
421,62827953,26,secondary,2022-03-01,2022-03-14,49.0,2700.0,3,Rent,Apartments,13,2022-03
428,62742446,26,secondary,2022-02-07,2022-03-23,16118.0,1499000.0,4,Sale,Apartments,44,2022-02
430,62568817,26,secondary,2021-12-09,2022-02-23,15583.0,1500000.0,3,Sale,Apartments,76,2021-12
431,62675752,26,secondary,2022-01-19,2022-02-15,9792.0,519000.0,2,Sale,Apartments,27,2022-01
434,62686178,26,secondary,2022-01-21,2022-02-20,12483.0,659000.0,2,Sale,Apartments,30,2022-01
437,62713445,26,secondary,2022-01-29,2022-02-12,8548.0,359000.0,2,Sale,Apartments,14,2022-01
438,62677267,26,secondary,2022-01-19,2022-02-18,55.0,2700.0,3,Rent,Apartments,30,2022-01
442,62687414,26,secondary,2022-01-21,2022-03-21,14500.0,626400.0,2,Sale,Apartments,59,2022-01
445,62797240,26,secondary,2022-02-21,2022-03-23,12992.0,825000.0,3,Sale,Apartments,30,2022-02
448,62588056,26,secondary,2021-12-16,2022-03-07,8626.0,398000.0,2,Sale,Apartments,81,2021-12
449,62793063,26,secondary,2022-02-19,2022-03-21,81.0,2600.0,1,Rent,Apartments,30,2022-02
450,62883218,26,secondary,2022-03-16,2022-03-18,197.0,15000.0,2,Rent,Apartments,2,2022-03
453,62829813,26,secondary,2022-03-01,2022-03-31,11621.0,810000.0,3,Sale,Apartments,30,2022-03
455,62432199,1004,secondary,2021-10-27,2022-02-24,7218.0,895000.0,5,Sale,Apartments,120,2021-10
456,62452099,26,secondary,2021-11-03,2022-02-24,66.0,2110.0,1,Rent,Apartments,113,2021-11
459,62676946,26,primary,2022-01-19,2022-03-20,10000.0,611300.0,3,Sale,Apartments,60,2022-01
460,62665198,26,secondary,2022-01-16,2022-03-17,10326.0,950000.0,4,Sale,Apartments,60,2022-01
464,62796299,26,secondary,2022-02-21,2022-03-23,44.0,3000.0,3,Rent,Apartments,30,2022-02
467,62776576,26,secondary,2022-02-15,2022-03-17,14917.0,537000.0,2,Sale,Apartments,30,2022-02
469,62737166,26,secondary,2022-02-04,2022-03-06,11366.0,431900.0,2,Sale,Apartments,30,2022-02
472,62827007,1004,secondary,2022-03-01,2022-03-31,27.0,1300.0,2,Rent,Apartments,30,2022-03
473,62674042,26,secondary,2022-01-18,2022-02-05,42.0,1750.0,2,Rent,Apartments,18,2022-01
474,62628440,26,secondary,2022-01-04,2022-02-04,99.0,3382.0,1,Rent,Apartments,31,2022-01
475,62695242,26,secondary,2022-01-24,2022-02-23,72.0,1800.0,1,Rent,Apartments,30,2022-01
478,62700027,26,secondary,2022-01-25,2022-03-26,18750.0,1950000.0,3,Sale,Apartments,60,2022-01
479,62708717,26,primary,2022-01-28,2022-02-28,11944.0,895784.0,3,Sale,Apartments,31,2022-01
480,62813370,1004,secondary,2022-02-24,2022-03-26,28.0,1300.0,2,Rent,Apartments,30,2022-02
485,62265860,26,secondary,2021-09-10,2022-02-23,42.0,3000.0,2,Rent,Apartments,166,2021-09
486,62691318,26,secondary,2022-01-23,2022-03-17,69.0,2500.0,2,Rent,Apartments,53,2022-01
487,62767807,26,secondary,2022-02-14,2022-03-16,45.0,3300.0,3,Rent,Apartments,30,2022-02
489,62381483,26,secondary,2021-10-13,2022-02-14,19481.0,1500000.0,3,Sale,Apartments,124,2021-10
492,62674960,26,secondary,2022-01-18,2022-02-18,113.0,1700.0,1,Rent,Apartments,31,2022-01
493,62863435,26,secondary,2022-03-10,2022-03-16,70.0,2300.0,1,Rent,Apartments,6,2022-03
494,62577129,26,primary,2021-12-13,2022-02-10,10550.0,700731.0,4,Sale,Apartments,59,2021-12
495,62823842,26,secondary,2022-02-28,2022-03-02,72.0,6000.0,3,Rent,Apartments,2,2022-02
497,62497658,26,secondary,2021-11-17,2022-03-09,45587.0,6250000.0,2,Sale,Apartments,112,2021-11
498,62776544,26,primary,2022-02-15,2022-03-29,11021.0,776989.0,3,Sale,Apartments,42,2022-02
504,62773691,26,secondary,2022-02-15,2022-03-16,11016.0,694000.0,3,Sale,Apartments,29,2022-02
508,62504581,26,secondary,2021-11-18,2022-03-24,9625.0,693000.0,3,Sale,Apartments,126,2021-11
511,62766275,26,secondary,2022-02-13,2022-02-21,13378.0,535000.0,2,Sale,Apartments,8,2022-02
513,61594027,26,secondary,2021-03-08,2022-02-13,54.0,3400.0,4,Rent,Apartments,342,2021-03
516,62791089,1004,primary,2022-02-18,2022-03-20,7500.0,472875.0,3,Sale,Apartments,30,2022-02
524,62238902,26,secondary,2021-09-02,2022-02-16,95.0,14000.0,8,Rent,Apartments,167,2021-09
526,61561203,26,secondary,2021-02-27,2022-03-22,53.0,3000.0,2,Rent,Apartments,388,2021-02
529,62808253,26,secondary,2022-02-23,2022-03-07,64.0,5000.0,3,Rent,Apartments,12,2022-02
530,62028280,26,primary,2021-07-02,2022-02-10,14348.0,330000.0,1,Sale,Apartments,223,2021-07
532,62697076,26,secondary,2022-01-25,2022-03-26,21739.0,1000000.0,2,Sale,Apartments,60,2022-01
537,62702538,26,primary,2022-01-26,2022-02-24,12960.0,694900.0,3,Sale,Apartments,29,2022-01
538,62764319,26,primary,2022-02-12,2022-03-14,17575.0,587000.0,2,Sale,Apartments,30,2022-02
541,62799490,26,secondary,2022-02-21,2022-02-22,5917.0,355000.0,3,Sale,Apartments,1,2022-02
544,62739673,26,secondary,2022-02-06,2022-03-08,53.0,4000.0,3,Rent,Apartments,30,2022-02
547,62577279,26,secondary,2021-12-13,2022-03-07,20455.0,900000.0,3,Sale,Apartments,84,2021-12
549,62571192,26,secondary,2021-12-10,2022-03-09,79.0,3800.0,2,Rent,Apartments,89,2021-12
550,62788766,26,primary,2022-02-18,2022-03-20,8867.0,539575.0,3,Sale,Apartments,30,2022-02
551,62774646,26,secondary,2022-02-15,2022-02-25,15828.0,1290000.0,4,Sale,Apartments,10,2022-02
552,62731177,1004,secondary,2022-02-03,2022-03-05,6594.0,309000.0,2,Sale,Apartments,30,2022-02
553,62642464,1004,secondary,2022-01-10,2022-02-03,9911.0,235000.0,1,Sale,Apartments,24,2022-01
554,62652502,26,primary,2022-01-12,2022-02-11,13945.0,509000.0,1,Sale,Apartments,30,2022-01
555,61551907,26,primary,2021-02-25,2022-03-22,8990.0,673261.0,3,Sale,Apartments,390,2021-02
561,62812222,26,secondary,2022-02-24,2022-03-03,13185.0,890000.0,3,Sale,Apartments,7,2022-02
564,62583391,26,secondary,2021-12-14,2022-02-09,11639.0,419000.0,2,Sale,Apartments,57,2021-12
565,62651386,26,secondary,2022-01-12,2022-03-30,12104.0,499900.0,2,Sale,Apartments,77,2022-01
